2026-05-26T16:59:51.385325+00:00 [1/656] Hunt综合征 | key=Hunt综合征 | ValueError: Disease_id not found from SymMap search
2026-05-26T16:59:56.307296+00:00 [2/656] IgA肾病 | key=IgA肾病 | ValueError: Disease_id not found from SymMap search
2026-05-26T17:00:00.240662+00:00 [3/656] IgA血管炎 | key=IgA血管炎 | ValueError: Disease_id not found from SymMap search
2026-05-26T17:00:05.909757+00:00 [4/656] IgA血管炎性肾炎 | key=IgA血管炎性肾炎 | ValueError: Disease_id not found from SymMap search
2026-05-26T17:00:09.888567+00:00 [5/656] Metatarsalgia） | key=Metatarsalgia） | ValueError: Disease_id not found from SymMap search
2026-05-26T17:00:17.089145+00:00 [6/656] Vogt-小柳-原田综合征 | key=Vogt-小柳-原田综合征 | ValueError: Disease_id not found from SymMap search
2026-05-26T17:00:21.732805+00:00 [7/656] infantile hemangioma | key=infantile hemangioma | ValueError: Disease_id not found from SymMap search
2026-05-26T17:00:25.813545+00:00 [8/656] 三叉神经痛 | key=三叉神经痛 | ValueError: Disease_id not found from SymMap search
2026-05-26T17:00:29.515721+00:00 [9/656] 上消化道出血 | key=上消化道出血 | ValueError: Disease_id not found from SymMap search
2026-05-26T17:00:55.392683+00:00 [1/663] Hunt综合征 | key=Hunt综合征 | ValueError: Disease_id not found from SymMap search
2026-05-26T17:00:59.810755+00:00 [2/663] IgA肾病 | key=IgA肾病 | ValueError: Disease_id not found from SymMap search
2026-05-26T17:01:04.022374+00:00 [3/663] IgA血管炎 | key=IgA血管炎 | ValueError: Disease_id not found from SymMap search
2026-05-26T17:01:07.503760+00:00 [4/663] IgA血管炎性肾炎 | key=IgA血管炎性肾炎 | ValueError: Disease_id not found from SymMap search
2026-05-26T17:01:10.898180+00:00 [5/663] Metatarsalgia） | key=Metatarsalgia） | ValueError: Disease_id not found from SymMap search
2026-05-26T17:01:15.071719+00:00 [6/663] Vogt-小柳-原田综合征 | key=Vogt-小柳-原田综合征 | ValueError: Disease_id not found from SymMap search
2026-05-26T17:01:19.762927+00:00 [7/663] infantile hemangioma | key=infantile hemangioma | ValueError: Disease_id not found from SymMap search
2026-05-26T17:01:24.228325+00:00 [8/663] 三叉神经痛 | key=三叉神经痛 | ValueError: Disease_id not found from SymMap search
2026-05-26T17:01:28.612662+00:00 [9/663] 上消化道出血 | key=上消化道出血 | ValueError: Disease_id not found from SymMap search
2026-05-26T17:01:32.927724+00:00 [10/663] 上睑下垂 | key=上睑下垂 | ValueError: Disease_id not found from SymMap search
2026-05-26T17:01:37.474562+00:00 [11/663] 下肢动脉硬化闭塞症 | key=下肢动脉硬化闭塞症 | ValueError: Disease_id not found from SymMap search
2026-05-26T17:01:42.146979+00:00 [12/663] 下肢慢性溃疡 | key=下肢慢性溃疡 | ValueError: Disease_id not found from SymMap search
2026-05-26T17:01:46.714870+00:00 [13/663] 下肢深静脉血栓形成 | key=下肢深静脉血栓形成 | ValueError: Disease_id not found from SymMap search
2026-05-26T17:01:50.192794+00:00 [14/663] 下肢静脉曲张 | key=下肢静脉曲张 | ValueError: Disease_id not found from SymMap search
2026-05-26T17:01:55.916673+00:00 [15/663] 不射精 | key=不射精 | ValueError: Disease_id not found from SymMap search
2026-05-26T17:01:59.345240+00:00 [16/663] 不育症 | key=不育症 | ValueError: Disease_id not found from SymMap search
2026-05-26T17:02:38.334086+00:00 [1/663] Hunt综合征 | key=Hunt综合征 | ValueError: Disease_id not found from SymMap search keys=['Hunt综合征', '耳带状疱疹', 'Ramsay Hunt综合征', '膝状神经节综合征']
2026-05-26T17:02:54.853153+00:00 [2/663] IgA肾病 | key=IgA肾病 | ValueError: Disease_id not found from SymMap search keys=['IgA肾病', 'IgA Nephropathy', 'Berger病']
2026-05-26T17:03:03.245264+00:00 [3/663] IgA血管炎 | key=IgA血管炎 | ValueError: Disease_id not found from SymMap search keys=['IgA血管炎', '过敏性紫癜']
2026-05-26T17:03:17.692826+00:00 [4/663] IgA血管炎性肾炎 | key=IgA血管炎性肾炎 | ValueError: Disease_id not found from SymMap search keys=['IgA血管炎性肾炎', '7天癜肾炎', 'IgA血管炎性肾', '紫癜性肾炎']
2026-05-26T17:03:21.837918+00:00 [5/663] Metatarsalgia） | key=Metatarsalgia） | ValueError: Disease_id not found from SymMap search keys=['Metatarsalgia）']
2026-05-26T17:03:28.797788+00:00 [6/663] Vogt-小柳-原田综合征 | key=Vogt-小柳-原田综合征 | ValueError: Disease_id not found from SymMap search keys=['Vogt-小柳-原田综合征', 'Vogt-Koyanagi-Harada Syndrome', 'VKH综合征', '特发性葡萄膜大脑炎']
2026-05-26T17:03:33.325434+00:00 [7/663] infantile hemangioma | key=infantile hemangioma | ValueError: Disease_id not found from SymMap search keys=['infantile hemangioma']
2026-05-26T17:03:56.745622+00:00 [9/663] 上消化道出血 | key=上消化道出血 | ValueError: Disease_id not found from SymMap search keys=['上消化道出血', 'Upper Gastrointestinal Hemorrhage']
2026-05-26T17:04:03.574570+00:00 [10/663] 上睑下垂 | key=上睑下垂 | ValueError: Disease_id not found from SymMap search keys=['上睑下垂', 'Ptosis']
2026-05-26T17:04:09.787284+00:00 [11/663] 下肢动脉硬化闭塞症 | key=下肢动脉硬化闭塞症 | ValueError: Disease_id not found from SymMap search keys=['下肢动脉硬化闭塞症', 'ASO']
2026-05-26T17:04:16.316043+00:00 [12/663] 下肢慢性溃疡 | key=下肢慢性溃疡 | ValueError: Disease_id not found from SymMap search keys=['下肢慢性溃疡', '臁疮']
2026-05-26T17:04:22.735416+00:00 [13/663] 下肢深静脉血栓形成 | key=下肢深静脉血栓形成 | ValueError: Disease_id not found from SymMap search keys=['下肢深静脉血栓形成', '股肿', '深静脉血栓', 'DVT']
2026-05-26T17:04:29.217323+00:00 [14/663] 下肢静脉曲张 | key=下肢静脉曲张 | ValueError: Disease_id not found from SymMap search keys=['下肢静脉曲张', '筋瘤']
2026-05-26T17:04:34.270944+00:00 [15/663] 不射精 | key=不射精 | ValueError: Disease_id not found from SymMap search keys=['不射精', 'Anejaculation']
2026-05-26T17:04:43.998548+00:00 [16/663] 不育症 | key=不育症 | ValueError: Disease_id not found from SymMap search keys=['不育症', '男子绝子', '无子', '无嗣']
