disease_key,old_edge_count,effective_runtime_rows_after_repair
ZXNK_IgA肾病,8,0
JZ_一氧化碳中毒,5,0
ZXNK_不寐,7,0
JZ_中暑,10,0
JZ_丹毒,4,0
WB_余师愚_疫疹一得_选,1,0
ZXNK_便秘,8,0
ZXNK_再生障碍性贫血,6,0
ZXNK_功能性消化不良,6,0
JZ_动脉直接穿刺插管术,1,0
ZXNK_动脉粥样硬化,7,0
WB_历代医家对温病预防的认识与成就,5,0
ZXNK_原发性慢性肾上腺皮质功能减退症,7,0
ZXNK_原发性支气管肺癌,7,0
ZXNK_原发性肝癌,7,0
ZXNK_厥证,8,0
WB_叶天士_温热论_,1,0
WB_吴又可_温疫论_选,1,0
WB_吴鞠通_温病条辨_选,1,0
ZXNK_呼吸衰竭,1,0
ZXNK_嗜铬细胞瘤,9,0
JZ_多发伤与复合伤,7,0
WB_大头瘟,3,0
ZXNK_大肠癌,7,0
ZXNK_头痛,7,0
ZXNK_尿崩症,6,0
ZXNK_尿路感染,8,0
ZXNK_帕金森病,6,0
ZXNK_库欣综合征,7,0
ZXNK_弥散性血管内凝血,7,0
ZXNK_心力衰竭,1,0
JZ_心包穿刺术,1,0
ZXNK_心律失常,1,0
ZXNK_心肌疾病,1,0
ZXNK_心肌病,7,0
ZXNK_心脏骤停与心脏性猝死,5,0
JZ_心衰,9,0
ZXNK_快速性心律失常,8,0
ZXNK_急性上呼吸道感染,7,0
JZ_急性中毒,8,0
JZ_急性出血,9,0
JZ_急性创伤,1,0
ZXNK_急性呼吸窘迫综合征,8,0
ZXNK_急性呼吸衰竭,7,0
JZ_急性咳嗽,9,0
JZ_急性头痛,4,0
JZ_急性有机磷农药中毒,2,0
ZXNK_急性炎性脱髓鞘性多发神经根神经病,8,0
JZ_急性百草枯中毒,7,0
ZXNK_急性肾小球肾炎,7,0
ZXNK_急性肾损伤,7,0
ZXNK_急性胃炎,9,0
JZ_急性胆胀,9,0
ZXNK_急性胰腺炎,9,0
JZ_急性胸痛,4,0
JZ_急性腰痛,5,0
JZ_急性腹痛,8,0
JZ_急性酒精中毒,3,0
ZXNK_急性间质性肾炎,7,0
ZXNK_感染性心内膜炎,6,0
ZXNK_慢性心力衰竭,10,0
ZXNK_慢性支气管炎,6,0
ZXNK_慢性淋巴细胞白血病,4,0
ZXNK_慢性肺源性心脏病,7,0
ZXNK_慢性髓细胞白血病,7,0
ZXNK_支气管哮喘,9,0
ZXNK_无症状性血尿或（和）蛋白尿,6,0
ZXNK_无症状性血尿或_和_蛋白尿,1,0
WB_杨栗山_伤寒瘟疫条辨_选,1,0
ZXNK_概述,8,0
JZ_毒蛇咬伤,9,0
JZ_气管切开术,2,0
ZXNK_水_电解质代谢和酸碱平衡失常,1,0
ZXNK_水、钠代谢失常,1,0
ZXNK_水_钠代谢失常,1,0
ZXNK_水肿,9,0
JZ_水肿,8,0
ZXNK_消化性溃疡,6,0
ZXNK_淋巴瘤,8,0
ZXNK_淋证,9,0
WB_温毒类温病常见证候辨治,11,0
WB_温热疫,3,0
WB_温病与伤寒_温疫_温毒的关系,1,0
WB_温病范围及命名,1,0
ZXNK_溃疡性结肠炎,7,0
ZXNK_溶血性贫血,10,0
WB_烂喉痧,5,0
ZXNK_甲状腺功能亢进症,7,0
ZXNK_甲状腺功能减退症,7,0
ZXNK_痛风,6,0
ZXNK_痴呆,1,0
ZXNK_癫痫,8,0
ZXNK_癮闭,7,0
ZXNK_白细胞减少和粒细胞缺乏症,6,0
JZ_真心痛,4,0
ZXNK_眩晕,8,0
ZXNK_第一节_总_论,9,0
JZ_第三章,10,0
JZ_第二十四章,9,0
ZXNK_类风湿关节炎,7,0
ZXNK_糖尿病,8,0
ZXNK_糖尿病肾病,6,0
ZXNK_系统性红斑狼疮,7,0
ZXNK_缺铁性贫血,6,0
ZXNK_肝硬化,7,0
JZ_肝脏穿刺术,1,0
JZ_股静脉穿刺术,1,0
ZXNK_肥胖症,8,0
ZXNK_肺炎,9,0
ZXNK_肺结核,8,0
ZXNK_肺脓肿,8,0
ZXNK_肾病综合征,7,0
ZXNK_胃癌,8,0
JZ_胸膜腔穿刺术,1,0
JZ_胸部创伤,7,0
ZXNK_脂肪性肝病,8,0
ZXNK_脑出血,6,0
JZ_脱证,9,0
JZ_腰椎穿刺术PPT_音视频_,1,0
ZXNK_腰痛,7,0
ZXNK_腹痛,8,0
JZ_腹腔穿刺术,1,0
JZ_腹部创伤,2,0
JZ_膀胱穿刺术,1,0
JZ_药物中毒,4,0
ZXNK_药物性肾损害,10,0
WB_薛生白_湿热病篇_,1,0
ZXNK_蛛网膜下腔出血,6,0
JZ_血液净化技术,3,0
ZXNK_血脂您常和脂蛋白您常血症,7,0
ZXNK_血证,6,0
WB_辨斑疹白_,1,0
WB_辨舌验齿望咽喉,1,0
ZXNK_过敏性紫癜,6,0
ZXNK_运动神经元病,6,0
ZXNK_酸碱平衡失常,1,0
ZXNK_重症肌无力,6,0
JZ_锁骨下静脉穿刺术,1,0
ZXNK_阿尔茨海默病,7,0
JZ_颅脑损伤,7,0
JZ_颈内静脉穿刺术,1,0
JZ_食物中毒,4,0
ZXNK_食管癌,6,0
ZXNK_骨关节炎,7,0
JZ_骨髓穿刺术,1,0
ZXNK_高血压,6,0
